Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00273	LINC00278	0.462297	0.211111	0.656208	3.612046
LINC00273	LINC00280	0.451449	0.197974	0.648331	3.505259
LINC00273	LINC00290	0.279593	0.001345	0.517658	2.017536
LINC00273	LINC00293	0.638315	0.437738	0.778369	5.745017
LINC00273	LINC00294	0.194903	-0.088237	0.448902	1.376727
LINC00273	LINC00297	0.344638	0.073319	0.568458	2.543554
LINC00273	LINC00298	-0.015019	-0.292151	0.264439	-0.104069
LINC00273	LINC00299	-0.122978	-0.388047	0.160881	-0.858535
LINC00273	LINC00301	0.108637	-0.175008	0.375630	0.757137
LINC00273	LINC00303	0.760245	0.611241	0.857200	8.107816
LINC00273	LINC00304	0.471605	0.222454	0.662933	3.705302
LINC00273	LINC00305	0.803568	0.676541	0.884157	9.353426
LINC00273	LINC00308	-0.152548	-0.413349	0.131383	-1.069400
LINC00273	LINC00309	0.742931	0.585699	0.846276	7.689609
LINC00273	LINC00310	0.543973	0.313016	0.714186	4.491410
LINC00273	LINC00311	0.751931	0.598938	0.851966	7.902318
LINC00273	LINC00313	0.426772	0.168427	0.630255	3.269455
LINC00273	LINC00314	0.583214	0.363944	0.741235	4.974190
LINC00273	LINC00315	0.711294	0.539820	0.826089	7.010985
LINC00273	LINC00319	0.683689	0.500605	0.808230	6.490691
LINC00273	LINC00320	0.098999	-0.184436	0.367232	0.689268
LINC00273	LINC00322	0.729397	0.565949	0.837677	7.387059
LINC00273	LINC00324	0.483355	0.236872	0.671378	3.825325
LINC00273	LINC00326	0.465817	0.215392	0.658755	3.647128
LINC00273	LINC00327	0.498091	0.255108	0.681902	3.979678
LINC00273	LINC00330	0.427465	0.169251	0.630766	3.275954
LINC00273	LINC00331	0.319849	0.045552	0.549297	2.338843
LINC00273	LINC00332	0.431006	0.173464	0.633372	3.309250
LINC00273	LINC00334	0.612700	0.403094	0.761228	5.371165
LINC00273	LINC00337	0.141441	-0.142523	0.403892	0.989885
LINC00273	LINC00339	0.531110	0.296606	0.705208	4.342766
LINC00273	LINC00342	0.789891	0.655707	0.875704	8.923833
LINC00273	LINC00343	0.360927	0.091797	0.580918	2.681312
LINC00273	LINC00345	0.608622	0.397633	0.758479	5.314259
LINC00273	LINC00346	0.386370	0.121034	0.600175	2.902223
LINC00273	LINC00347	0.736895	0.576867	0.842447	7.552221
LINC00273	LINC00348	0.572444	0.349835	0.733862	4.836927
LINC00273	LINC00350	0.193935	-0.089234	0.448098	1.369626
LINC00273	LINC00351	0.483523	0.237079	0.671499	3.827062
LINC00273	LINC00353	0.593790	0.377897	0.748438	5.112841
LINC00273	LINC00354	0.552853	0.324425	0.720352	4.596632
LINC00273	LINC00355	0.355148	0.085220	0.576509	2.632126
LINC00273	LINC00358	0.802689	0.675195	0.883615	9.324626
LINC00273	LINC00362	0.530109	0.295335	0.704506	4.331376
LINC00273	LINC00363	0.897555	0.825424	0.940849	14.103901
LINC00273	LINC00364	0.231304	-0.050286	0.478828	1.647193
LINC00273	LINC00365	0.601572	0.388228	0.753715	5.217469
LINC00273	LINC00366	-0.155628	-0.415962	0.128281	-1.091524
LINC00273	LINC00368	0.224784	-0.057144	0.473510	1.598254
LINC00273	LINC00370	0.377972	0.111333	0.593846	2.828495
LINC00273	LINC00374	0.614460	0.405455	0.762412	5.395922
LINC00273	LINC00375	0.678517	0.493340	0.804858	6.399402
LINC00273	LINC00376	0.629251	0.425410	0.772327	5.609317
LINC00273	LINC00377	0.572286	0.349629	0.733754	4.834945
LINC00273	LINC00379	0.590947	0.374136	0.746505	5.075175
LINC00273	LINC00380	0.413746	0.153016	0.620623	3.148661
LINC00273	LINC00381	0.322441	0.048436	0.551312	2.359987
LINC00273	LINC00382	0.119789	-0.164033	0.385295	0.835945
LINC00273	LINC00383	0.520309	0.282933	0.697625	4.221192
LINC00273	LINC00384	0.071934	-0.210636	0.343411	0.499668
LINC00273	LINC00385	0.806270	0.680680	0.885820	9.443022
LINC00273	LINC00388	0.710800	0.539112	0.825771	7.001143
LINC00273	LINC00390	0.350956	0.080464	0.573303	2.596662
LINC00273	LINC00391	0.719932	0.552247	0.831630	7.186618
LINC00273	LINC00392	-0.031636	-0.307282	0.248909	-0.219289
LINC00273	LINC00393	-0.127921	-0.392305	0.155986	-0.893604
LINC00273	LINC00397	0.047333	-0.234104	0.321451	0.328302
LINC00273	LINC00398	0.243352	-0.037544	0.488607	1.738246
LINC00273	LINC00399	0.142146	-0.141818	0.404494	0.994921
LINC00273	LINC00400	0.747927	0.593037	0.849437	7.806468
LINC00273	LINC00402	0.198533	-0.084489	0.451912	1.403410
LINC00273	LINC00404	0.466257	0.215928	0.659073	3.651528
LINC00273	LINC00408	0.627125	0.422530	0.770907	5.578053
LINC00273	LINC00411	0.432229	0.174922	0.634271	3.320792
LINC00273	LINC00412	0.672009	0.484236	0.800604	6.287035
LINC00273	LINC00421	0.565166	0.340357	0.728858	4.746300
LINC00273	LINC00423	0.642283	0.443159	0.781006	5.805682
LINC00273	LINC00424	0.459060	0.207181	0.653861	3.579962
LINC00273	LINC00426	-0.000006	-0.278358	0.278347	-0.000042
LINC00273	LINC00430	0.489992	0.245063	0.676127	3.894293
LINC00273	LINC00431	0.537918	0.305275	0.709967	4.420903
LINC00273	LINC00433	0.263065	-0.016496	0.504477	1.889104
LINC00273	LINC00437	0.227584	-0.054202	0.475796	1.619241
LINC00273	LINC00440	0.272531	-0.006299	0.512040	1.962435
LINC00273	LINC00442	0.784568	0.647654	0.872400	8.766563
LINC00273	LINC00443	0.464511	0.213803	0.657810	3.634084
LINC00273	LINC00445	0.476827	0.228848	0.666692	3.758319
LINC00273	LINC00446	-0.032453	-0.308023	0.248141	-0.224961
LINC00273	LINC00448	0.477448	0.229611	0.667139	3.764664
LINC00273	LINC00449	0.759492	0.610124	0.856727	8.088827
LINC00273	LINC00454	0.683241	0.499975	0.807938	6.482718
LINC00273	LINC00456	0.391349	0.126810	0.603915	2.946340
LINC00273	LINC00457	0.374869	0.107761	0.591501	2.801458
LINC00273	LINC00458	0.144378	-0.139584	0.406398	1.010870
LINC00273	LINC00459	-0.033616	-0.309076	0.247048	-0.233028
LINC00276	LINC00278	0.256598	-0.023428	0.499289	1.839347
LINC00276	LINC00280	0.595659	0.380374	0.749708	5.137772
LINC00276	LINC00290	0.526573	0.290852	0.702028	4.291353
LINC00276	LINC00293	-0.338989	-0.564113	-0.066954	-2.496397
LINC00276	LINC00294	-0.460908	-0.655202	-0.209424	-3.598259
LINC00276	LINC00297	-0.071973	-0.343445	0.210598	-0.499941
LINC00276	LINC00298	0.467845	0.217864	0.660220	3.667443
LINC00276	LINC00299	0.074286	-0.208376	0.345494	0.516091
LINC00276	LINC00301	-0.364587	-0.583703	-0.095974	-2.712646
LINC00276	LINC00303	-0.250433	-0.494327	0.030012	-1.792159
LINC00276	LINC00304	-0.308325	-0.540307	-0.032786	-2.245536
LINC00276	LINC00305	-0.204269	-0.456657	0.078550	-1.445701
LINC00276	LINC00308	-0.383687	-0.598156	-0.117929	-2.878578
LINC00276	LINC00309	-0.359931	-0.580159	-0.090662	-2.672811
LINC00276	LINC00310	-0.330613	-0.557647	-0.057558	-2.427037
LINC00276	LINC00311	-0.379644	-0.595109	-0.113261	-2.843110
LINC00276	LINC00313	0.363911	0.095202	0.583189	2.706847
LINC00276	LINC00314	-0.330532	-0.557584	-0.057466	-2.426364
LINC00276	LINC00315	-0.220975	-0.470394	0.061138	-1.569766
LINC00276	LINC00319	-0.287467	-0.523899	-0.009907	-2.079401
LINC00276	LINC00320	0.807423	0.682449	0.886529	9.481758
LINC00276	LINC00322	-0.352380	-0.574392	-0.082078	-2.608686
LINC00276	LINC00324	0.407910	0.146151	0.616287	3.095304
LINC00276	LINC00326	-0.338688	-0.563881	-0.066616	-2.493895
LINC00276	LINC00327	0.067866	-0.214540	0.339799	0.471274
LINC00276	LINC00330	0.487444	0.241915	0.674306	3.867715
LINC00276	LINC00331	0.560450	0.334240	0.725606	4.688447
LINC00276	LINC00332	0.437903	0.181698	0.638436	3.374643
LINC00276	LINC00334	-0.483567	-0.671530	-0.237134	-3.827518
LINC00276	LINC00337	-0.493530	-0.678653	-0.249445	-3.931429
LINC00276	LINC00339	-0.368484	-0.586663	-0.100432	-2.746167
LINC00276	LINC00342	-0.277581	-0.516060	0.000837	-2.001801
LINC00276	LINC00343	0.059167	-0.222856	0.332051	0.410638
