Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
LINC00271	LINC00366	-0.166570	-0.527020	0.244671	-0.810162	25	0.213201	-0.146923	-0.512318	0.263512	-0.712349	25	0.213201	-0.066807	0.946735
LINC00271	LINC00368	0.776154	0.549559	0.896382	5.903325	25	0.213201	0.714615	0.445186	0.865391	4.899342	25	0.213201	0.461244	0.644624
LINC00271	LINC00370	0.615385	0.291010	0.812865	3.744202	25	0.213201	0.376923	-0.021402	0.671978	1.951601	25	0.213201	1.064882	0.286929
LINC00271	LINC00374	0.775385	0.548210	0.896002	5.888642	25	0.213201	0.686154	0.399268	0.850657	4.523540	25	0.213201	0.640242	0.522015
LINC00271	LINC00375	0.430769	0.042941	0.705775	2.289178	25	0.213201	0.062308	-0.341231	0.446453	0.299399	25	0.213201	1.321517	0.186329
LINC00271	LINC00376	0.792308	0.578182	0.904327	6.227895	25	0.213201	0.537130	0.180248	0.769045	3.053924	25	0.213201	1.583649	0.113274
LINC00271	LINC00377	0.631538	0.315010	0.821640	3.906331	25	0.213201	0.426154	0.037297	0.702926	2.259172	25	0.213201	0.957787	0.338170
LINC00271	LINC00379	0.586154	0.248594	0.796754	3.469632	25	0.213201	0.500769	0.131690	0.747915	2.774559	25	0.213201	0.402818	0.687082
LINC00271	LINC00380	0.627692	0.309259	0.819559	3.866994	25	0.213201	0.601538	0.270758	0.805271	3.611315	25	0.213201	0.139445	0.889098
LINC00271	LINC00381	0.104615	-0.303049	0.479914	0.504486	25	0.213201	0.089231	-0.317087	0.467872	0.429650	25	0.213201	0.051510	0.958919
LINC00271	LINC00382	0.149231	-0.261315	0.514056	0.723790	25	0.213201	0.359300	-0.041767	0.660644	1.846443	25	0.213201	-0.748656	0.454065
LINC00271	LINC00383	0.473077	0.095858	0.731479	2.575190	25	0.213201	0.340769	-0.062828	0.648575	1.738315	25	0.213201	0.527557	0.597807
LINC00271	LINC00384	0.541538	0.186257	0.771573	3.089332	25	0.213201	0.432308	0.044828	0.706722	2.299229	25	0.213201	0.476263	0.633887
LINC00271	LINC00385	0.676923	0.384679	0.845822	4.410560	25	0.213201	0.751538	0.506944	0.884125	5.463560	25	0.213201	-0.507670	0.611685
LINC00271	LINC00388	0.837692	0.661521	0.926241	7.356013	25	0.213201	0.716154	0.447709	0.866180	4.920969	25	0.213201	1.040365	0.298170
LINC00271	LINC00390	0.725385	0.462937	0.870899	5.053902	25	0.213201	0.658462	0.355931	0.836068	4.195868	25	0.213201	0.427261	0.669189
LINC00271	LINC00391	0.372308	-0.026768	0.669023	1.923830	25	0.213201	0.261538	-0.148997	0.595169	1.299527	25	0.213201	0.409073	0.682486
LINC00271	LINC00392	-0.183077	-0.539208	0.228597	-0.893101	25	0.213201	-0.582308	-0.794612	-0.243107	-3.435127	25	0.213201	1.594576	0.110807
LINC00271	LINC00393	0.100769	-0.306575	0.476917	0.485745	25	0.213201	0.084615	-0.321263	0.464231	0.407262	25	0.213201	0.054042	0.956902
LINC00271	LINC00397	0.420000	0.029810	0.699114	2.219500	25	0.213201	0.382308	-0.015113	0.675414	1.984214	25	0.213201	0.149024	0.881535
LINC00271	LINC00398	0.676154	0.383469	0.845418	4.401322	25	0.213201	0.614615	0.289877	0.812445	3.736678	25	0.213201	0.350531	0.725940
LINC00271	LINC00399	0.445855	0.061563	0.715024	2.388820	25	0.213201	0.126178	-0.283073	0.496558	0.610004	25	0.213201	1.169643	0.242145
LINC00271	LINC00400	0.554337	0.203852	0.778871	3.194202	25	0.213201	0.591538	0.256311	0.799744	3.518542	25	0.213201	-0.183768	0.854196
LINC00271	LINC00402	0.590612	0.254980	0.799231	3.510074	25	0.213201	0.574615	0.232199	0.790311	3.367154	25	0.213201	0.080325	0.935979
LINC00271	LINC00404	0.868462	0.720610	0.940765	8.401292	25	0.213201	0.505097	0.137378	0.750456	2.806704	25	0.213201	2.555990	0.010589
LINC00271	LINC00408	0.703077	0.426398	0.859449	4.741630	25	0.213201	0.726923	0.465491	0.871683	5.076605	25	0.213201	-0.161891	0.871391
