Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
hsa-miR-100	A1CF	48	5	2.202678	3.06202	12.001987	2.565446e-15	0.06144	1.562622	0.125472	-0.022519	-1.074574	0.288558	0.080225	0.188939	0.85103	-3.886316	-1.901563	0.063942
hsa-miR-100	A2M	48	5	0.822272	4.114213	11.927871	3.152893e-15	-0.020298	-0.381845	0.704457	0.012693	0.447997	0.656405	0.855718	1.490647	0.143354	-4.343654	-1.572023	0.123275
hsa-miR-100	A2M-AS1	48	5	1.145675	8.803544	9.403893	5.389639e-12	-0.195862	-1.357552	0.181688	0.058029	0.754616	0.454593	-2.474647	-1.588297	0.119546	6.690867	0.892196	0.377254
hsa-miR-100	A2ML1	48	5	0.786341	2.669493	10.63841	1.276127e-13	0.044101	1.140378	0.260441	-0.018093	-0.877815	0.384923	0.021304	0.051013	0.959551	-1.721665	-0.856493	0.396473
hsa-miR-100	A2MP1	48	5	0.604514	3.960786	8.653234	5.748683e-11	0.043203	0.612447	0.543468	0.04102	1.091004	0.281347	0.81712	1.072633	0.289419	-2.941677	-0.802268	0.42681
hsa-miR-100	A4GALT	48	5	1.941065	4.433148	19.240921	9.489826e-23	0.076762	2.161808	0.036243	0.004856	0.256597	0.798714	-0.121992	-0.318136	0.751922	-1.7354	-0.940244	0.352344
hsa-miR-100	A4GNT	48	5	1.779646	4.678961	14.234784	7.095794e-18	-0.041182	-0.812944	0.420728	0.058967	2.183953	0.034467	0.77983	1.425508	0.16123	-4.171887	-1.584388	0.120433
hsa-miR-100	AA06	48	5	1.482056	3.679596	9.620311	2.757842e-12	0.102679	1.741912	0.088674	0.03251	1.034746	0.306572	-0.245928	-0.386336	0.701153	-1.007895	-0.328951	0.743789
hsa-miR-100	AAAS	48	5	0.288286	5.518217	13.429177	5.540123e-17	0.043784	0.691384	0.493041	0.005595	0.165751	0.86913	-0.329008	-0.481089	0.632893	-0.179637	-0.054573	0.956732
hsa-miR-100	AACS	48	5	2.824697	6.648269	28.216648	2.240157e-29	-0.022782	-0.627396	0.533717	0.046578	2.406623	0.020469	-0.704141	-1.795664	0.079577	0.523953	0.277598	0.782651
hsa-miR-100	AACSP1	48	5	1.323564	3.236083	8.554607	7.882913e-11	-0.014917	-0.255862	0.799277	0.027504	0.88513	0.38101	1.071259	1.701544	0.096062	0.215199	0.071015	0.943715
hsa-miR-100	AADAC	48	5	1.273901	3.513094	11.91068	3.307674e-15	-0.008567	-0.188463	0.8514	0.02357	0.97284	0.336074	-0.884042	-1.800892	0.078736	3.05835	1.294379	0.202443
hsa-miR-100	AADACL2	48	5	1.280262	2.050021	5.967824	4.072352e-07	0.001257	0.023736	0.981173	-0.01382	-0.489782	0.626778	1.109628	1.940901	0.058844	-4.673464	-1.698338	0.09667
hsa-miR-100	AADACP1	48	5	0.953191	2.252382	4.789066	2e-05	0.015544	0.214448	0.831212	-0.02029	-0.525211	0.602134	0.696288	0.889541	0.378662	3.094644	0.821385	0.415958
