symbol	GSM2226789	GSM2774696	GSM1855320	GSM2774692	GSM2774693	GSM2477391	GSM2700242	GSM2195412	GSM2195413	GSM2700241	GSM2226790	GSM2226787	GSM3936839	GSM2700245	GSM3685851	GSM1855317	GSM3685848	GSM1855318	GSM2195415	GSM3685853	GSM2477390	GSM2774694	GSM2700244	GSM2195410	GSM3936840
ABCC8	4.658399329	4.904509329	4.540568239	5.046366763	5.107974334	4.759026236	4.761582175	4.457715332	4.652871971	4.719650166	4.59856013	4.68824315	4.696090717	4.710596479	4.44197316	4.718176718	4.894913966	4.978143631	4.497445079	4.998500718	4.953640527	4.895225029	4.69654936	4.470938049	4.494921309
ABCC9	2.924158179	3.243575518	2.871794386	2.662062934	3.205361348	3.264060664	2.986571198	3.295216775	3.017847831	3.131227001	3.079876464	2.985309414	2.813485355	3.001184449	3.262445728	2.876859923	3.477361289	3.342746967	3.378710125	3.367340905	3.18644608	2.773327153	2.866121203	2.956625958	3.353800778
ABCD1	6.117125978	5.700045354	5.641805139	5.927776569	5.648209088	5.74199685	5.899462409	5.778597712	5.346432186	5.685774553	5.68543338	5.53919823	5.79191622	5.785154751	5.342801377	5.69896431	5.834344275	5.885370342	6.113010158	5.755607477	5.034851597	5.653938025	5.919996253	5.436998996	5.976193452
ABCD1P2	3.123157898	3.270955451	3.055021165	3.185361463	3.323290557	3.013816276	3.447348177	3.323174796	3.190761109	3.464761848	2.969827704	3.292732218	3.31758135	3.692344289	3.34456975	3.027218043	2.991645875	3.508984622	3.603961719	3.236241604	3.276960608	3.337201272	3.210147351	3.202832626	3.770405349
ABCD2	2.751029898	3.623216383	2.966549236	3.192622039	2.711423926	2.598266025	2.148089165	2.843431232	2.745481547	2.707525218	2.877633251	2.468218154	3.971569676	3.238187612	3.697239574	3.164971252	3.323122253	2.921503913	2.397340121	2.669778543	2.971150797	2.806371729	2.969530198	2.628365323	2.764223391
ABCD3	5.912142084	5.767989598	5.697125388	5.882665035	5.658107577	5.995908824	5.500900631	5.684085577	4.991020711	5.475092472	6.259616182	5.590242589	5.997904472	5.866397119	5.791816835	6.035216269	5.731118286	5.967568201	5.583128015	5.629325252	6.121739993	5.69129028	5.50075419	5.348734256	5.86969896
ABCD4	5.501320373	5.673341434	6.028392644	5.574059174	5.774326341	5.608994568	5.435039703	5.746966865	5.691511428	5.67255598	5.4785402	5.872898037	6.094022013	5.535024118	5.487746618	5.878366621	5.730003564	5.599695264	5.527354971	5.606029938	5.996480495	5.439424338	5.807078038	5.62715763	5.72297
ABCE1	6.744987068	6.865296234	6.117300422	6.991067134	7.254883067	6.324379826	6.113064334	6.794237177	6.538887098	6.459130645	6.335447135	6.352286659	7.545313698	6.84173775	7.118687866	7.169640973	6.740187385	6.896318288	6.457925266	6.51758889	6.761904067	7.02181279	6.257171809	6.647498164	6.740944262
ABCF1	7.839816306	7.438154479	8.0664852	7.673709526	7.733151255	8.005006705	7.72824293	8.240947998	8.080255548	7.769877222	8.102405129	8.221173661	8.014596979	7.716926317	7.354215043	8.073678595	7.830090452	8.150320417	8.171404801	7.818184103	8.298874677	7.351815868	8.100357063	8.071863665	8.108152766
ABCF2	5.933280458	5.620392629	5.687731226	5.701783836	5.725052645	5.854558341	5.898770548	6.205392955	6.112267585	5.455867969	5.970367462	5.967555269	5.97014838	5.703195824	5.312347319	6.071007809	5.471679428	6.127274114	5.521862859	6.0149116	6.168801856	5.201271469	6.032627627	5.179640702	5.822939134
ABCF3	6.825260452	6.597407713	6.709694796	6.686781288	6.701078951	6.916985197	6.764267566	7.005573948	6.79983618	6.625630956	7.050372791	6.849385753	6.819048469	6.691435329	6.413016272	6.587165774	6.441101567	6.787443124	6.883860004	6.945959157	6.966091525	6.628491487	6.990376476	6.834339442	6.880197916
ABCG1	6.885066006	6.439567423	6.309195056	5.956154518	6.612701301	6.691636706	7.077001316	5.880009249	6.451182794	6.766631501	6.451630997	6.306580511	5.670927792	6.97479184	6.889476913	6.471329887	5.711111731	6.074619084	5.463112845	5.928649896	6.318392285	6.772017597	7.389937743	6.537027465	6.130527065
ABCG2	6.876682347	6.956590857	4.699109066	4.96711691	4.510075802	3.798634911	3.779038838	3.877155798	4.323052631	4.198898825	4.287948183	4.446466784	6.116201715	5.99586055	7.57347781	4.431663359	5.136809982	5.590513881	4.938759996	4.792155315	4.829809972	6.194340067	3.884980605	4.043690343	5.105190689
ABCG4	5.411830589	5.625128774	5.641189747	5.125986874	5.314125198	5.479759298	5.923346112	5.422684035	5.138639886	5.416518892	5.714203524	5.635066207	5.327877594	5.692269346	5.618220235	4.94239283	5.651690948	5.298593419	5.060172743	5.936238769	4.977735912	5.296742029	5.606667243	5.594508749	5.207441698
