Marker1	Marker2	Correlation	Lower	Upper	t-statistic
hsa-miR-100	hsa-miR-1263	0.360599	0.091423	0.580668	2.678514
hsa-miR-100	hsa-miR-1264	0.093495	-0.189797	0.362416	0.650605
hsa-miR-100	hsa-miR-1265	0.377575	0.110875	0.593546	2.825026
hsa-miR-100	hsa-miR-1266	0.132884	-0.151056	0.396568	0.928884
hsa-miR-100	hsa-miR-1267	0.941090	0.897964	0.966313	19.281277
hsa-miR-100	hsa-miR-1268	0.336173	0.063790	0.561942	2.473006
hsa-miR-100	hsa-miR-1269	0.712277	0.541231	0.826720	7.030643
hsa-miR-100	hsa-miR-127-3p	-0.020230	-0.296911	0.259584	-0.140189
hsa-miR-100	hsa-miR-127-5p	0.781751	0.643405	0.870648	8.685393
hsa-miR-100	hsa-miR-1270	0.730055	0.566905	0.838096	7.401311
hsa-miR-100	hsa-miR-1271	0.734044	0.572710	0.840636	7.488732
hsa-miR-100	hsa-miR-1272	0.499192	0.256478	0.682685	3.991391
hsa-miR-100	hsa-miR-1273	0.558199	0.331327	0.724051	4.661063
hsa-miR-100	hsa-miR-1274a	0.017871	-0.261783	0.294758	0.123836
hsa-miR-100	hsa-miR-1274b	0.126198	-0.157694	0.390822	0.881369
hsa-miR-100*	hsa-miR-101	0.772282	0.629182	0.864743	8.422304
hsa-miR-100*	hsa-miR-101*	-0.236275	-0.482870	0.045040	-1.684658
hsa-miR-100*	hsa-miR-103	0.124902	-0.158978	0.389706	0.872177
hsa-miR-100*	hsa-miR-103-2*	0.280166	0.001967	0.518113	2.022026
hsa-miR-100*	hsa-miR-103-as	0.289576	0.012207	0.525566	2.096044
hsa-miR-100*	hsa-miR-105	0.900345	0.830001	0.942495	14.333843
hsa-miR-100*	hsa-miR-105*	0.071830	-0.210736	0.343318	0.498943
hsa-miR-100*	hsa-miR-106a*	0.415830	0.155473	0.622168	3.167822
hsa-miR-100*	hsa-miR-106b	-0.138278	-0.401189	0.145682	-0.967310
hsa-miR-100*	hsa-miR-106b*	-0.186954	-0.442290	0.096416	-1.318503
hsa-miR-100*	hsa-miR-107	-0.127294	-0.391765	0.156608	-0.889150
hsa-miR-100*	hsa-miR-10a	0.591373	0.374700	0.746796	5.080809
hsa-miR-100*	hsa-miR-10a*	0.470442	0.221033	0.662094	3.693565
hsa-miR-100*	hsa-miR-10b	0.895090	0.821386	0.939392	13.907985
hsa-miR-100*	hsa-miR-10b*	-0.268436	-0.508773	0.010717	-1.930640
hsa-miR-100*	hsa-miR-1178	0.841861	0.735972	0.907545	10.807209
hsa-miR-100*	hsa-miR-1179	0.868280	0.777948	0.923446	12.126432
hsa-miR-100*	hsa-miR-1180	0.456996	0.204680	0.652364	3.559612
hsa-miR-100*	hsa-miR-1181	0.448252	0.194120	0.646001	3.474162
hsa-miR-100*	hsa-miR-1182	0.899009	0.827808	0.941707	14.222591
hsa-miR-100*	hsa-miR-1183	0.773644	0.631223	0.865594	8.459264
hsa-miR-100*	hsa-miR-1184	0.954395	0.920611	0.973997	22.148155
hsa-miR-100*	hsa-miR-1185	-0.000562	-0.278871	0.277834	-0.003897
hsa-miR-100*	hsa-miR-1197	0.882599	0.801041	0.931987	13.006759
hsa-miR-100*	hsa-miR-1200	0.213468	-0.068984	0.464236	1.513842
hsa-miR-100*	hsa-miR-1201_v15.0	0.810061	0.686503	0.888151	9.571602
hsa-miR-100*	hsa-miR-1202	0.792146	0.659129	0.877101	8.992081
hsa-miR-100*	hsa-miR-1203	0.327799	0.054411	0.555468	2.403875
hsa-miR-100*	hsa-miR-1204	0.202969	-0.079897	0.455583	1.436103
hsa-miR-100*	hsa-miR-1205	0.149684	-0.134263	0.410916	1.048857
hsa-miR-100*	hsa-miR-1206	0.638683	0.438241	0.778614	5.750617
hsa-miR-100*	hsa-miR-1207-3p	0.021361	-0.258529	0.297942	0.148026
hsa-miR-100*	hsa-miR-1207-5p	0.230636	-0.050990	0.478284	1.642166
hsa-miR-100*	hsa-miR-1208	0.787988	0.652825	0.874524	8.867010
hsa-miR-100*	hsa-miR-122	0.538316	0.305782	0.710244	4.425501
hsa-miR-100*	hsa-miR-122*	0.910665	0.847021	0.948569	15.271338
hsa-miR-100*	hsa-miR-1224-3p	0.438317	0.182193	0.638739	3.378590
hsa-miR-100*	hsa-miR-1224-5p	0.801300	0.673071	0.882758	9.279469
hsa-miR-100*	hsa-miR-1225-3p	0.893518	0.818816	0.938463	13.786410
hsa-miR-100*	hsa-miR-1225-5p	0.019278	-0.260472	0.296042	0.133589
hsa-miR-100*	hsa-miR-1226	0.714482	0.544398	0.828136	7.075033
hsa-miR-100*	hsa-miR-1226*	0.862073	0.768014	0.919728	11.785349
hsa-miR-100*	hsa-miR-1227	0.782128	0.643973	0.870883	8.696176
hsa-miR-100*	hsa-miR-1228	0.598796	0.384537	0.751835	5.179890
hsa-miR-100*	hsa-miR-1228*	0.978309	0.961895	0.987697	32.719952
hsa-miR-100*	hsa-miR-1229	0.295505	0.018690	0.530243	2.143023
hsa-miR-100*	hsa-miR-1231	0.891831	0.816061	0.937464	13.658773
hsa-miR-100*	hsa-miR-1233	0.542187	0.310730	0.712943	4.470512
hsa-miR-100*	hsa-miR-1234	0.898791	0.827451	0.941579	14.204681
hsa-miR-100*	hsa-miR-1236	-0.238126	-0.484373	0.043082	-1.698648
hsa-miR-100*	hsa-miR-1237	0.551784	0.323048	0.719611	4.583846
hsa-miR-100*	hsa-miR-1238	0.450054	0.196292	0.647315	3.491672
hsa-miR-100*	hsa-miR-124	0.763901	0.616674	0.859496	8.201117
hsa-miR-100*	hsa-miR-124*	0.861053	0.766384	0.919115	11.731301
hsa-miR-100*	hsa-miR-1243	0.941409	0.898504	0.966497	19.338682
hsa-miR-100*	hsa-miR-1244	0.735931	0.575461	0.841835	7.530657
hsa-miR-100*	hsa-miR-1245	0.844757	0.740533	0.909297	10.936455
hsa-miR-100*	hsa-miR-1246	0.765348	0.618828	0.860403	8.238569
hsa-miR-100*	hsa-miR-1247	0.212041	-0.070471	0.463062	1.503244
hsa-miR-100*	hsa-miR-1248	0.013112	-0.266212	0.290404	0.090849
hsa-miR-100*	hsa-miR-1249	0.465873	0.215461	0.658795	3.647689
hsa-miR-100*	hsa-miR-1250	0.114357	-0.169387	0.380595	0.797521
hsa-miR-100*	hsa-miR-1251	0.839271	0.731900	0.905976	10.694309
hsa-miR-100*	hsa-miR-1252	0.332499	0.059669	0.559105	2.442596
hsa-miR-100*	hsa-miR-1253	0.516279	0.277857	0.694786	4.176554
hsa-miR-100*	hsa-miR-1254	0.592750	0.376521	0.747732	5.099037
hsa-miR-100*	hsa-miR-1255a	0.027870	-0.252441	0.303865	0.193165
hsa-miR-100*	hsa-miR-1255b	-0.226444	-0.474865	0.055401	-1.610687
hsa-miR-100*	hsa-miR-1256	-0.006210	-0.284071	0.272614	-0.043024
hsa-miR-100*	hsa-miR-1257	0.139526	-0.144436	0.402256	0.976214
hsa-miR-100*	hsa-miR-1258	0.232846	-0.048660	0.480083	1.658802
hsa-miR-100*	hsa-miR-1259_v15.0	0.825849	0.710921	0.897815	10.146735
hsa-miR-100*	hsa-miR-125a-3p	0.024757	-0.255356	0.301035	0.171572
hsa-miR-100*	hsa-miR-125a-5p	0.805655	0.679738	0.885442	9.422501
hsa-miR-100*	hsa-miR-125b	0.888738	0.811017	0.935632	13.431834
hsa-miR-100*	hsa-miR-125b-1*	0.774021	0.631788	0.865830	8.469553
hsa-miR-100*	hsa-miR-125b-2*	0.935214	0.888034	0.962904	18.298973
hsa-miR-100*	hsa-miR-126	0.672543	0.484981	0.800954	6.296146
hsa-miR-100*	hsa-miR-126*	0.661301	0.469342	0.793576	6.107852
hsa-miR-100*	hsa-miR-1260	0.735850	0.575343	0.841784	7.528857
hsa-miR-100*	hsa-miR-1261	-0.268463	-0.508794	0.010689	-1.930844
hsa-miR-100*	hsa-miR-1262	0.617485	0.409520	0.764446	5.438796
hsa-miR-100*	hsa-miR-1263	0.047220	-0.234211	0.321349	0.327513
hsa-miR-100*	hsa-miR-1264	0.183046	-0.100423	0.439030	1.289978
hsa-miR-100*	hsa-miR-1265	0.376642	0.109800	0.592841	2.816887
hsa-miR-100*	hsa-miR-1266	0.208107	-0.074565	0.459823	1.474080
hsa-miR-100*	hsa-miR-1267	0.905118	0.837857	0.945308	14.749383
hsa-miR-100*	hsa-miR-1268	0.000643	-0.277759	0.278946	0.004455
hsa-miR-100*	hsa-miR-1269	0.733849	0.572426	0.840512	7.484420
hsa-miR-100*	hsa-miR-127-3p	0.060340	-0.221736	0.333098	0.418813
hsa-miR-100*	hsa-miR-127-5p	0.842039	0.736252	0.907652	10.815043
