Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
LINC00364	ABCB5	50	2	1.829968	2.66587	26.906897	1.317204e-30	0.019137	1.352763	0.182469
LINC00364	ABCB6	50	2	0.324887	4.770387	32.261997	3.397301e-34	-0.012034	-0.569988	0.571344
LINC00364	ABCB7	50	2	0.652094	7.53408	60.964733	3.926416e-47	-0.014249	-0.807523	0.423349
LINC00364	ABCB8	50	2	0.125855	4.345701	27.10956	9.390598e-31	0.00812	0.354761	0.724323
LINC00364	ABCB9	50	2	0.320431	4.809334	35.71059	3.141724e-36	-0.010885	-0.566067	0.573985
LINC00364	ABCC1	50	2	0.767204	6.620041	65.150101	1.682896e-48	-0.012708	-0.875902	0.385446
LINC00364	ABCC10	50	2	1.060014	6.858771	50.391697	3.19399e-43	-0.020009	-1.029571	0.308372
LINC00364	ABCC11	50	2	0.865188	3.406237	23.399031	6.744019e-28	0.019334	0.930155	0.356945
LINC00364	ABCC12	50	2	3.266316	2.946812	23.109226	1.169384e-27	-0.032906	-1.807296	0.076986
LINC00364	ABCC13	50	2	1.293918	4.867649	17.198347	3.709149e-22	-0.045969	-1.137505	0.260974
LINC00364	ABCC2	50	2	2.891256	4.034704	21.561005	2.44893e-26	0.045433	1.700369	0.095533
LINC00364	ABCC3	50	2	0.008483	5.78226	42.152821	1.396016e-39	0.001804	0.092106	0.926998
LINC00364	ABCC4	50	2	0.161389	4.865729	17.884411	7.273707e-23	-0.015606	-0.401732	0.689664
LINC00364	ABCC5	50	2	4.447184	6.110316	30.102264	8.106571e-33	0.061121	2.108835	0.040202
LINC00364	ABCC6	50	2	0.212936	4.461168	32.129757	4.102448e-34	0.009148	0.46145	0.64656
LINC00364	ABCC6P1	50	2	0.886433	3.483942	27.284967	7.019016e-31	0.017165	0.941506	0.35116
LINC00364	ABCC6P2	50	2	4.436884	4.47977	21.94515	1.132582e-26	0.061396	2.106392	0.040424
LINC00364	ABCC8	50	2	4.239903	4.532564	41.458649	3.033705e-39	0.032143	2.059103	0.044932
LINC00364	ABCC9	50	2	1.138747	3.232243	22.876673	1.826413e-27	-0.021528	-1.067121	0.291255
LINC00364	ABCD1	50	2	0.02187	5.772504	35.048347	7.468923e-36	-0.003478	-0.147884	0.883054
LINC00364	ABCD1P2	50	2	0.013001	3.363733	24.373053	1.105195e-28	-0.002247	-0.114024	0.909694
