Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00272	LINC00408	0.466337	0.216026	0.659130	3.652329
LINC00272	LINC00411	0.536496	0.303461	0.708974	4.404484
LINC00272	LINC00412	0.731560	0.569092	0.839054	7.434091
LINC00272	LINC00421	0.631978	0.429112	0.774148	5.649745
LINC00272	LINC00423	0.384412	0.118768	0.598702	2.884962
LINC00272	LINC00424	0.392816	0.128515	0.605015	2.959394
LINC00272	LINC00426	0.157703	-0.126189	0.417719	1.106441
LINC00272	LINC00430	0.588984	0.371544	0.745170	5.049343
LINC00272	LINC00431	0.351510	0.081092	0.573727	2.601342
LINC00272	LINC00433	0.310843	0.035568	0.542276	2.265832
LINC00272	LINC00437	0.112325	-0.171386	0.378833	0.783167
LINC00272	LINC00440	0.413293	0.152482	0.620287	3.144502
LINC00272	LINC00442	0.612466	0.402780	0.761070	5.367880
LINC00272	LINC00443	0.268056	-0.011127	0.508470	1.927694
LINC00272	LINC00445	0.298317	0.021772	0.532456	2.165396
LINC00272	LINC00446	0.395380	0.131500	0.606936	2.982277
LINC00272	LINC00448	0.485257	0.239216	0.672741	3.845005
LINC00272	LINC00449	0.755186	0.603746	0.854018	7.981698
LINC00272	LINC00454	0.556223	0.328773	0.722685	4.637146
LINC00272	LINC00456	0.836487	0.727531	0.904287	10.575704
LINC00272	LINC00457	0.791894	0.658746	0.876945	8.984396
LINC00272	LINC00458	0.447512	0.193230	0.645462	3.466996
LINC00272	LINC00459	0.352574	0.082298	0.574541	2.610329
LINC00273	LINC00276	0.216903	-0.065398	0.467057	1.539394
LINC00273	LINC00278	0.750510	0.596842	0.851069	7.868075
LINC00273	LINC00280	0.666651	0.476769	0.797092	6.196505
LINC00273	LINC00290	0.478235	0.230576	0.667704	3.772702
LINC00273	LINC00293	0.754718	0.603053	0.853722	7.970190
LINC00273	LINC00294	0.117031	-0.166754	0.382910	0.816426
LINC00273	LINC00297	0.378824	0.112314	0.594489	2.835931
LINC00273	LINC00298	0.098487	-0.184935	0.366785	0.685674
LINC00273	LINC00299	0.229153	-0.052551	0.477075	1.631020
LINC00273	LINC00301	0.203222	-0.079635	0.455792	1.437971
LINC00273	LINC00303	0.628587	0.424510	0.771884	5.599528
LINC00273	LINC00304	0.412821	0.151926	0.619937	3.140174
LINC00273	LINC00305	0.520733	0.283468	0.697923	4.225910
LINC00273	LINC00308	-0.201935	-0.454728	0.080968	-1.428477
LINC00273	LINC00309	0.228577	-0.053158	0.476605	1.626692
LINC00273	LINC00310	0.597503	0.382820	0.750959	5.162482
LINC00273	LINC00311	0.593292	0.377238	0.748100	5.106221
LINC00273	LINC00313	0.583289	0.364043	0.741287	4.975161
LINC00273	LINC00314	0.429878	0.172121	0.632542	3.298624
LINC00273	LINC00315	0.736926	0.576912	0.842467	7.552910
LINC00273	LINC00319	0.539016	0.306675	0.710732	4.433609
LINC00273	LINC00320	0.459208	0.207360	0.653969	3.581426
LINC00273	LINC00322	0.689284	0.508493	0.811868	6.591526
LINC00273	LINC00324	0.602382	0.389306	0.754264	5.228492
LINC00273	LINC00326	0.415894	0.155549	0.622216	3.168418
LINC00273	LINC00327	0.651188	0.455378	0.786906	5.944750
LINC00273	LINC00330	0.559312	0.332767	0.724820	4.674584
LINC00273	LINC00331	0.674206	0.487305	0.802042	6.324668
LINC00273	LINC00332	0.766050	0.619875	0.860843	8.256866
LINC00273	LINC00334	0.435305	0.178592	0.636530	3.349922
LINC00273	LINC00337	0.391942	0.127500	0.604360	2.951614
LINC00273	LINC00339	0.489076	0.243931	0.675472	3.884722
LINC00273	LINC00342	0.746014	0.590225	0.848228	7.761384
